Subjectline,Region,Division,MAP_B&B,Email_Type,tactic_nm,tactic_id,# of Contacts,# of Emails Sent,Delivered,Bounced,Deliver Rate,Opened,Open Rate,Clicked,Click Rate,Sum of Win $
透過最先進的培養基和饋料系統強化生產力和蛋白質品質,APJ,BCD,Batch & Blast,Awareness,EM5088340 BPG CCCT NPI Enhance productivity and protein quality,EM5088340,993,993,979,14,99%,271,27%,7,3%,$544
透過我們新一代頂尖培養基和饋料系統，使您的製程再升級!,APJ,BCD,Batch & Blast,Awareness,EM5088341 BPG CCCT NPI Elevate your process,EM5088341,1281,1281,1267,14,99%,318,25%,27,8%,$54927
透過客製化分析服務進行您的細胞培養結果分析,APJ,BCD,Batch & Blast,Webinar,EM5093988_Gibco-PD-Express-Services,EM5093988,794,794,792,2,100%,224,28%,107,48%,$52897
透過客製化分析服務進行您的細胞培養結果分析,To Be Mapped,BCD,Batch & Blast,Webinar,EM5093988_Gibco-PD-Express-Services,EM5093988,123,123,121,2,98%,53,43%,0,0%,
透過優質認證級的潔淨容器降低風險,APJ,SUD,Batch & Blast,To Be Mapped,EM5104076_Fluid management_and_containment _PowerUp_EM1,EM5104076,1724,1724,1724,0,100%,491,28%,13,3%,$22706
透過優質認證級的潔淨容器降低風險,To Be Mapped,SUD,Batch & Blast,To Be Mapped,EM5104076_Fluid management_and_containment _PowerUp_EM1,EM5104076,183,183,183,0,100%,34,19%,2,6%,
透過一流的純化方案取得高純度及高產量,APJ,PPA,MAP,Cross-Sell,TW-EM1.2-Email1-IPAC - Taiwan,EM5079050,343,431,429,2,100%,218,51%,41,19%,
透過qPCR黴漿菌測試輕鬆解決QC瓶頸,APJ,PPA,MAP,Cross-Sell,TW-EM2.2-Email2-IPAC - Taiwan,EM5079098,323,401,400,1,100%,315,79%,4,1%,
透過Gibco Bacto系列培養基獲得更高的質體與重組蛋白產量,APJ,BCD,Batch & Blast,Video,EM5097009_Gibco™ Bacto™ CD Supreme Fermentation Production Mediu,EM5097009,2351,2351,2346,5,100%,1437,61%,110,8%,$1136392
透過Gibco Bacto系列培養基獲得更高的質體與重組蛋白產量,To Be Mapped,BCD,Batch & Blast,Video,EM5097009_Gibco™ Bacto™ CD Supreme Fermentation Production Mediu,EM5097009,281,281,278,3,99%,171,61%,2,1%,
透過Freedom ExpiCHO-S試劑盒，簡化您的穩定克隆開發!,APJ,BCD,Batch & Blast,Awareness,EM5092819_NPI_Freedomg Kit 2,EM5092819,158,158,157,1,99%,11,7%,0,0%,
超低颗粒残留，铂金认证Nalgene降低风险不是事儿,GC,To Be Mapped,Batch & Blast,To Be Mapped,PlatinumClean_20230322,EM5101013,296,296,296,0,100%,59,20%,13,22%,
註冊並關注我們全新的Gibco™ 電子報季刊,APJ,BCD,Batch & Blast,News Letter,EM5099699_Quarterly newsletter from GIBCO for biologics customer,EM5099699,2118,2118,2118,0,100%,686,32%,7,1%,
註冊並關注我們全新的Gibco™ 電子報季刊,To Be Mapped,BCD,Batch & Blast,News Letter,EM5099699_Quarterly newsletter from GIBCO for biologics customer,EM5099699,252,252,252,0,100%,37,15%,0,0%,
观看视频：在无菌培养袋中进行磁性分离,GC,To Be Mapped,MAP,Awareness,GC-EM9-Email9-Greater China,EM5088711,256,268,268,0,100%,108,40%,13,12%,
觀看影片：升級您的一次性供應鏈,APJ,SUD,MAP,Awareness,TW-EM1-Email1-IPAC - Taiwan,EM5089211,131,135,124,11,92%,55,41%,24,44%,
细胞疗法生产的工艺放大,GC,To Be Mapped,MAP,Awareness,GC-EM4-Email4-Greater China,EM5088706,320,371,363,8,98%,146,39%,10,7%,
"细胞基因治疗系列好物优惠大促,不容错过~",GC,To Be Mapped,Batch & Blast,Promotion,CGT2023promotion_20230410,EM5101582,8281,8286,8286,0,100%,1116,13%,67,6%,
線上研討會回放: 透過多體學工作流程進行培養基優化,APJ,BCD,Batch & Blast,Webinar,EM5096505_On_deman_webinar_media_development,EM5096505,2000,2000,1993,7,100%,1246,62%,303,24%,$311966
線上研討會回放: 透過多體學工作流程進行培養基優化,To Be Mapped,BCD,Batch & Blast,Webinar,EM5096505_On_deman_webinar_media_development,EM5096505,234,234,231,3,99%,170,73%,8,5%,
線上研討會：透過一次性生物反應器，HEK293&病毒載體製程全面升級！,APJ,To Be Mapped,Batch & Blast,Webinar,EM5091203_On_Demand_Webinar_Improving_HEK293_AAV_Processes,EM5091203,2504,2504,2493,11,100%,1311,52%,363,28%,
線上研討會：一次性生物製程的未來趨勢,APJ,SUD,Batch & Blast,Awareness,EM5092496_The-rise-of-SUT-webinar,EM5092496,2494,2494,2487,7,100%,1145,46%,352,31%,
細胞治療系統解決方案：迅速與臨床接軌!,APJ,To Be Mapped,MAP,Awareness,TW-EM3-Email3-IPAC - Taiwan,EM5088752,1733,1753,1735,18,99%,542,31%,67,12%,
細胞培養用プラスチック製品ならサーモフィッシャーサイエンティフィックにおまかせ！,APJ,BCD,Batch & Blast,To Be Mapped,Invite-CellCulture2,EM5033846,1752,1756,1756,0,100%,987,56%,318,32%,$172
精準的DNA殘留片段檢測,APJ,To Be Mapped,Batch & Blast,To Be Mapped,EM5088442_E1A DNA Fragment Length Kit EM1,EM5088442,2284,2284,2279,5,100%,1407,62%,294,21%,
第6回バイオ医薬EXPO出展とセミナー実施のご案内,APJ,To Be Mapped,Batch & Blast,Event,EM5093304_1_BIOPROEVENTSJP_20220610,EM5093304,9995,9995,9966,29,100%,7974,80%,260,3%,
立即點閱：細胞療法的新紀元,APJ,To Be Mapped,MAP,Awareness,TW-EM1-Email1-IPAC - Taiwan,EM5088750,1850,1886,1867,19,99%,650,34%,117,18%,
立即報名1/27線上研討會：利用一次性生物反應器快速升級HEK293 & AAV製程！,APJ,To Be Mapped,Batch & Blast,Webinar,EM5088275_APJ Webinar_Improving HEK293_AAV Processes_Using,EM5088275,2468,2468,2463,5,100%,1258,51%,239,19%,
立即報名：線上研討會—最大化生物製劑開發與製造的生產力和擴展性—7月14日,APJ,To Be Mapped,Batch & Blast,Webinar,EM5093844_APJ BPG LIve Webinar 2 Maximizing productivity,EM5093844,865,865,864,1,100%,395,46%,74,19%,
立即了解創新的一次性製程技術,APJ,SUD,MAP,Awareness,TW-EM3-Email3-IPAC - Taiwan,EM5089213,102,103,95,8,92%,36,35%,12,33%,
白皮書：運用模組化及標準化的一次性歧管設計進行風險分析,APJ,SUD,Batch & Blast,Awareness,EM5092384_Analysis-of-manufacturing-risk,EM5092384,2335,2335,2326,9,100%,1369,59%,491,36%,$4277
白皮書：運用模組化及標準化的一次性歧管設計進行風險分析,To Be Mapped,SUD,Batch & Blast,Awareness,EM5092384_Analysis-of-manufacturing-risk,EM5092384,334,334,331,3,99%,218,65%,6,3%,
白皮書：提供節省成本的模組化設計,APJ,SUD,Batch & Blast,Download,EM5092434_Modularized design with cost saving opportunities,EM5092434,1571,1571,1568,3,100%,866,55%,248,29%,$4173
白皮書：提供節省成本的模組化設計,To Be Mapped,SUD,Batch & Blast,Download,EM5092434_Modularized design with cost saving opportunities,EM5092434,252,252,249,3,99%,155,62%,4,3%,
白皮書：大規模一次性生物反應器(SUB),APJ,To Be Mapped,MAP,Awareness,TW-EM3-Email3-IPAC - Taiwan,EM5088796,163,164,156,8,95%,100,61%,18,18%,
疫情当下，Gibco加码产能布局，对产能焦虑说“不”！,GC,BCD,Batch & Blast,To Be Mapped,Gibco_Catalog_20220704,EM5093925,3931,3931,3746,185,95%,1207,31%,385,32%,
生産性を向上させるGibco CHO細胞培養製品,APJ,To Be Mapped,Batch & Blast,Download,EM5101010_1_BIOPRODOWNLOJP_20230323,EM5101010,5634,5640,5640,0,100%,2313,41%,198,9%,
爱伴细胞，生命可期-Gibco邀请您分享爱与细胞的故事！,GC,BCD,Batch & Blast,To Be Mapped,Gibco_story_collection _20220316,EM5090292,1576,1576,1542,34,98%,252,16%,1,0%,
爱伴细胞，生命可期-Gibco™ 60周年活动诚邀您参与！,GC,BCD,Batch & Blast,To Be Mapped,Gibco_story_collection _20220303,EM5090028,2238,2238,2020,218,90%,611,27%,35,6%,
無料オンラインセミナー「遺伝子治療の開発最適化を実現するカスタムソリューション」,APJ,To Be Mapped,Batch & Blast,Webinar,EM5101286_1_BIOPROWEBINAJP_20230403,EM5101286,8858,8862,8862,0,100%,3950,45%,206,5%,
無料オンラインセミナー「モノクローナル抗体製造にイノベーションをもたらすアップストリーム＆ダウンストリーム新製品のご紹介」,APJ,To Be Mapped,Batch & Blast,Webinar,EM5090734_1_BIOPROWEBINAJP_20220325,EM5090734,9424,9424,9406,18,100%,8747,93%,1691,19%,
無料オンラインセミナー 「CAR-T細胞療法をより早く市場へお届けするために　～研究と製造そして保管・輸送ソリューション～」,APJ,To Be Mapped,Batch & Blast,Webinar,EM5094748_1_BIOPROWEBINAJP_20220729,EM5094748,9760,9760,9733,27,100%,7887,81%,476,6%,
為您的生物製程升級－可擴展純化解決方案,APJ,PPA,MAP,Cross-Sell,TW-EM3.2-Email3-IPAC - Taiwan,EM5079052,224,239,239,0,100%,126,53%,10,8%,
為您的生物製劑選擇合適的潔淨容器,APJ,To Be Mapped,Batch & Blast,Awareness,EM5094104_BPG Vaccine Series Email EM2,EM5094104,292,292,291,1,100%,66,23%,90,136%,
為您的E.coli發酵實現更高的發酵產量！,APJ,BCD,Batch & Blast,Webinar,EM5093986_Gibco-Bacto-CD-Supreme-Fermentation,EM5093986,650,650,640,10,98%,120,18%,67,56%,$11592
深入了解法規資訊: IND/BLA的CMC申請資料Q&A,APJ,PPA,MAP,Cross-Sell,TW-EM3.2-Email3-IPAC - Taiwan,EM5079099,318,398,397,1,100%,196,49%,9,5%,
深入了解一次性生物反應器如何最大化產量並節省寶貴空間！,APJ,To Be Mapped,MAP,Awareness,TW-EM2-Email2-IPAC - Taiwan,EM5088795,167,168,161,7,96%,75,45%,15,20%,
深入了解Efficient-Pro系統如何最大化生產力,APJ,BCD,Batch & Blast,To Be Mapped,EM5093276_NPI-Efficient-Pro-2,EM5093276,2206,2206,2191,15,99%,1204,55%,289,24%,$3225484
深入了解Efficient-Pro系統如何最大化生產力,To Be Mapped,BCD,Batch & Blast,To Be Mapped,EM5093276_NPI-Efficient-Pro-2,EM5093276,316,316,311,5,98%,185,59%,7,4%,
活動預告：實現一次性製造狀態最佳化的發展方向—7月27日,APJ,To Be Mapped,Batch & Blast,Webinar,EM5094111_APJ-BPG-Webinar-1,EM5094111,323,323,323,0,100%,34,11%,2,6%,
残存プラスミドDNAを高感度かつ迅速に定量,APJ,To Be Mapped,Batch & Blast,Awareness,EM5094790_1_BIOPROAWARENJP_20220801,EM5094790,2918,2918,2872,46,98%,1983,68%,357,18%,
残存HEK293 DNAのフラグメントサイズ測定キットが登場！,APJ,To Be Mapped,Batch & Blast,Awareness,EM5089394_1_BIOPROAWARENJP_20220208,EM5089394,9368,9368,9240,128,99%,8251,88%,1872,23%,
残存HEK293 DNAのフラグメントサイズ測定キットが登場！,APJ,To Be Mapped,Batch & Blast,Awareness,EM5092913_1_BIOPROAWARENJP_20220527,EM5092913,2966,2966,2957,9,100%,2144,72%,323,15%,
歡迎點選觀看：生物製程次世代領袖高峰會暨展覽,APJ,To Be Mapped,Batch & Blast,Webinar,EM5092806_View-Ondemand-Bioprocess-Next,EM5092806,260,260,258,2,99%,35,13%,17,49%,
模拟体内 T 细胞激活,GC,To Be Mapped,MAP,Awareness,GC-EM6-Email6-Greater China,EM5088708,287,323,316,7,98%,130,40%,15,12%,
最後機會：線上研討會—最大化生物製劑開發與製造的生產力和擴展性—7月14日,APJ,To Be Mapped,Batch & Blast,Webinar,EM5093846_APJ BPG LIve Webinar 3 - Maximizing productivity,EM5093846,708,708,707,1,100%,434,61%,41,9%,
新消息發布：POROS層析樹脂訂單的交貨期為15週,APJ,PPA,Batch & Blast,Awareness,EM5100987_Announcing 15-week lead times on POROS,EM5100987,1926,1926,1926,0,100%,1656,86%,10,1%,$3106784
新消息發布：POROS層析樹脂訂單的交貨期為15週,To Be Mapped,PPA,Batch & Blast,Awareness,EM5100987_Announcing 15-week lead times on POROS,EM5100987,227,227,227,0,100%,50,22%,0,0%,
新加坡一次性產能擴張：強化您的一次性供應鏈,APJ,SUD,Batch & Blast,Webinar,EM5092698_Singapore single-use capacity expansion,EM5092698,1293,1293,1290,3,100%,560,43%,64,11%,$69972
新一代培養基和饋料系統，開啟單株抗體生產的突破性革新！,APJ,To Be Mapped,Batch & Blast,Awareness,EM5090919_mAb-campaign-EM1,EM5090919,2616,2616,2607,9,100%,1186,45%,442,37%,
改善您的同种异体工作流程,GC,To Be Mapped,MAP,Awareness,GC-EM5-Email5-Greater China,EM5088707,309,358,350,8,98%,166,46%,5,3%,
擴大您的細胞療法生產!,APJ,To Be Mapped,MAP,Awareness,TW-EM4-Email4-IPAC - Taiwan,EM5088753,1738,1761,1742,19,99%,505,29%,26,5%,
擔心容器中的微粒？,APJ,SUD,Batch & Blast,To Be Mapped,EM5099579_Concerned-about-particulates-in-your-container,EM5099579,2045,2045,2045,0,100%,366,18%,26,7%,$73219
擔心容器中的微粒？,To Be Mapped,SUD,Batch & Blast,To Be Mapped,EM5099579_Concerned-about-particulates-in-your-container,EM5099579,244,244,244,0,100%,28,11%,2,7%,
提高您的細胞培養效率,APJ,SUD,Batch & Blast,To Be Mapped,EM5100761_Nunc Cell Factories,EM5100761,151,151,151,0,100%,14,9%,1,7%,$1089891
提高您的存活CHO細胞密度，並最大化您的產品濃度,APJ,BCD,Batch & Blast,To Be Mapped,EM5100037_Gibco-APJ-CHO solution-campagin-email-1st,EM5100037,762,762,762,0,100%,53,7%,2,4%,$527620
探索高度自由的細胞株開發，引領您的製程升級!,APJ,To Be Mapped,Batch & Blast,Awareness,EM508713_NPI - Introducing the Freedom ExpiCHO-S Kit 1 EM2,EM5087139,2379,2379,2376,3,100%,1368,58%,334,24%,
探索高度自由的細胞株開發，引領您的製程升級!,To Be Mapped,To Be Mapped,Batch & Blast,Awareness,EM508713_NPI - Introducing the Freedom ExpiCHO-S Kit 1 EM2,EM5087139,423,423,423,0,100%,272,64%,35,13%,
探索穩定且靈活的基因選殖開發，您的製程再升級,APJ,To Be Mapped,Batch & Blast,Awareness,EM5092812_NPI_Freedom Kit 1,EM5092812,106,106,106,0,100%,20,19%,11,55%,
探索全自動的細胞治療解決方案,APJ,BCD,Batch & Blast,Awareness,EM5100584_DynaCellect_CCC_NPI_for_Cell_Therapy_EM1,EM5100584,3106,3106,3106,0,100%,480,15%,24,5%,$54446
探索全自動的細胞治療解決方案,To Be Mapped,BCD,Batch & Blast,Awareness,EM5100584_DynaCellect_CCC_NPI_for_Cell_Therapy_EM1,EM5100584,365,365,365,0,100%,52,14%,2,4%,
探索全新的ViralSEQ慢病毒物理濃度試劑盒，並透過RT-qPCR精確定量病毒顆粒,APJ,PPA,Batch & Blast,Awareness,EM5097461-ViralSEQ Lentivirus Physical Titer Assay Launch,EM5097461,2295,2295,2290,5,100%,1334,58%,204,15%,$38808
探索全新的ViralSEQ慢病毒物理濃度試劑盒，並透過RT-qPCR精確定量病毒顆粒,To Be Mapped,PPA,Batch & Blast,Awareness,EM5097461-ViralSEQ Lentivirus Physical Titer Assay Launch,EM5097461,272,272,268,4,99%,175,64%,2,1%,
探索ViralSEQ™ Lentivirus Proviral DNA濃度試劑盒，對proviral DNA進行準確定量,APJ,PPA,Batch & Blast,Download,EM5095921_NPI_ViralSEQL-enti_Proviral_DNA_Titer_Kit,EM5095921,2222,2222,2204,18,99%,1378,62%,154,11%,$10804
探索ViralSEQ™ Lentivirus Proviral DNA濃度試劑盒，對proviral DNA進行準確定量,To Be Mapped,PPA,Batch & Blast,Download,EM5095921_NPI_ViralSEQL-enti_Proviral_DNA_Titer_Kit,EM5095921,271,271,268,3,99%,178,66%,1,1%,
抗體純化工作流程—protein A的全新來源,APJ,To Be Mapped,Batch & Blast,Awareness,EM5090923_mAb-campaign-EM3,EM5090923,762,762,759,3,100%,249,33%,28,11%,
我們了解您在T細胞治療的需求,APJ,To Be Mapped,MAP,Awareness,TW-EM11-Email11-IPAC - Taiwan,EM5088761,531,534,529,5,99%,195,37%,33,17%,
成為首位新加坡生物製程設計中心的參觀者,APJ,To Be Mapped,Batch & Blast,Webinar,EM5092681_BDC_EMAIL,EM5092681,356,356,355,1,100%,45,13%,1,2%,
您真的需要血清嗎？減少疫苗製程中的血清運用,APJ,To Be Mapped,Batch & Blast,Awareness,EM5094102_BPG Vaccine Series Email EM1,EM5094102,2353,2353,2330,23,99%,1280,54%,263,21%,
您的細胞株授權更簡單!,APJ,BCD,Batch & Blast,Awareness,EM5092846_NPI_Freedom Kit 3,EM5092846,1887,1887,1881,6,100%,1107,59%,357,32%,$1689455
您的細胞株授權更簡單!,To Be Mapped,BCD,Batch & Blast,Awareness,EM5092846_NPI_Freedom Kit 3,EM5092846,312,312,309,3,99%,165,53%,2,1%,
您的 T 细胞疗法需要什么？,GC,To Be Mapped,MAP,Awareness,GC-EM11-Email11-Greater China,EM5088713,246,258,256,2,99%,60,23%,6,10%,
您是否正尋找可靠的方法來進行細胞培養生產？,APJ,SUD,Batch & Blast,Awareness,EM5097710_InStock_Cell_Factory_System,EM5097710,669,669,659,10,99%,151,23%,63,42%,
微生物発酵用のシングルユースファーメンター,APJ,To Be Mapped,Batch & Blast,Awareness,EM5105000_1_BIOPROAWARENJP_20230817,EM5105000,3573,3574,3574,0,100%,1695,47%,223,13%,
微生物培養用CD培地の最新ニュースをポッドキャストでお届け,APJ,To Be Mapped,Batch & Blast,Video,EM5098239_1_BIOPROVIDEOSJP_20221128,EM5098239,5703,5703,5604,99,98%,4193,74%,214,5%,
影片精選—適用於無菌培養袋的磁性分選方法,APJ,To Be Mapped,MAP,Awareness,TW-EM9-Email9-IPAC - Taiwan,EM5088759,1670,1674,1655,19,99%,484,29%,41,8%,
強化您的培養基化學，推向成功！,APJ,BCD,MAP,Awareness,TW-EM1-Email1-IPAC - Taiwan,EM5088773,103,110,110,0,100%,41,37%,17,41%,
幫助您降低CAR T細胞治療的風險!,APJ,To Be Mapped,MAP,Awareness,TW-EM2-Email2-IPAC - Taiwan,EM5088751,1788,1819,1802,17,99%,570,31%,82,14%,
幫助您輕鬆提升純化產量-CaptureSelect親和性樹脂,APJ,PPA,MAP,Cross-Sell,TW-EM2.2-Email2-IPAC - Taiwan,EM5079051,360,432,428,4,99%,466,108%,24,5%,
實現一次性供應鏈的協同合作,APJ,SUD,Batch & Blast,Awareness,EM5091723_Supply-chain-partnership-with-customer,EM5091723,2019,2019,2011,8,100%,1116,55%,329,29%,$450674
實現一次性供應鏈的協同合作,To Be Mapped,SUD,Batch & Blast,Awareness,EM5091723_Supply-chain-partnership-with-customer,EM5091723,327,327,325,2,99%,215,66%,6,3%,
完美模擬體內T細胞活化!,APJ,To Be Mapped,MAP,Awareness,TW-EM6-Email6-IPAC - Taiwan,EM5088756,1697,1701,1684,17,99%,499,29%,53,11%,
完整解決方案：HEK293殘留片段檢測,APJ,To Be Mapped,Batch & Blast,To Be Mapped,EM5088435_E1A_DNA_Fragment_Length_Kit_EM2,EM5088435,2327,2327,2316,11,100%,1484,64%,322,22%,
如何进一步提高细胞培养效率？,GC,To Be Mapped,Batch & Blast,To Be Mapped,NuncCellFactories_20230315,EM5101012,415,417,417,0,100%,136,33%,7,5%,
單株抗體製程指南手冊簡介,APJ,SUD,Batch & Blast,Awareness,EM5091307_Introduction-to-mAb-Process-Playbook,EM5091307,402,402,402,0,100%,148,37%,49,33%,$44418
同定まで約5時間！遺伝子解析による微生物同定・系統解析ツール,APJ,To Be Mapped,Batch & Blast,Awareness,EM5096338_1_BIOPROAWARENJP_20220921,EM5096338,5676,5676,5587,89,98%,4010,71%,361,9%,
可靠地培养细胞培养物,GC,SUD,MAP,Awareness,GC-EM1-Email1-Greater China,EM5099283,158,159,159,0,100%,34,21%,1,3%,
只要5小時－透過qPCR黴漿菌檢測快速取得實驗結果,APJ,PPA,MAP,Cross-Sell,TW-EM1.2-Email1-IPAC - Taiwan,EM5079097,336,422,421,1,100%,154,36%,30,19%,
即用型培養瓶組件系統,APJ,SUD,Batch & Blast,To Be Mapped,EM5104081_Fluid_management_and_containment _PowerUp_EM2,EM5104081,1716,1716,1716,0,100%,651,38%,11,2%,$712425
即用型培養瓶組件系統,To Be Mapped,SUD,Batch & Blast,To Be Mapped,EM5104081_Fluid_management_and_containment _PowerUp_EM2,EM5104081,184,184,184,0,100%,32,17%,3,9%,
即刻改善您的免疫疗法工作流程,GC,To Be Mapped,MAP,Awareness,GC-EM10-Email10-Greater China,EM5088712,253,265,247,18,93%,64,24%,8,13%,
即刻了解样品制备和自动化解决方案,GC,PPA,MAP,Consideration,GC-EM2-Email2-Greater China,EM5095557,233,240,240,0,100%,73,30%,19,26%,
即刻了解可靠的核酸提取解决方案,GC,PPA,MAP,Consideration,GC-EM1-Email1-Greater China,EM5095556,290,299,297,2,99%,101,34%,18,18%,$23908
升級您的同種異體工作流程！,APJ,To Be Mapped,MAP,Awareness,TW-EM5-Email5-IPAC - Taiwan,EM5088754,1715,1722,1708,14,99%,463,27%,26,6%,
升級您的免疫治療工作流程！,APJ,To Be Mapped,MAP,Awareness,TW-EM10-Email10-IPAC - Taiwan,EM5088760,1620,1624,1608,16,99%,454,28%,28,6%,
千萬別錯過！生物製藥網路研討會：基因分析的應用,APJ,To Be Mapped,Batch & Blast,Event,EM5095776_APJ CE Biopharma Webinar Email EM3,EM5095776,1378,1378,1366,12,99%,596,43%,32,5%,
千萬別錯過！生物製藥網路研討會：基因分析的應用,APJ,To Be Mapped,Batch & Blast,Event,EM5095778_APJ CE Biopharma Webinar Email EM4,EM5095778,2775,2775,2750,25,99%,1732,62%,129,7%,
加速您的生物製程！,APJ,To Be Mapped,Batch & Blast,Awareness,EM5090477_KaonApp,EM5090477,1368,1368,1367,1,100%,603,44%,88,15%,
加速您的單株抗體生產與CHO製程,APJ,To Be Mapped,MAP,Awareness,EM5093111_NPI-Efficient-Pro-1,EM5093111,1639,1639,1637,2,100%,948,58%,242,26%,
加速您的單株抗體生產與CHO製程,To Be Mapped,To Be Mapped,MAP,Awareness,EM5093111_NPI-Efficient-Pro-1,EM5093111,276,276,273,3,99%,179,65%,2,1%,
創薬と商用生産を加速するCHO安定発現株構築用キット,APJ,To Be Mapped,Batch & Blast,Awareness,EM5103630_1_BIOPROAWARENJP_20230620,EM5103630,7100,7101,7101,0,100%,3489,49%,178,5%,
別錯過1/27線上研討會：一次性生物反應器的重大革新！快速升級HEK293 & AAV製程！,APJ,To Be Mapped,Batch & Blast,Webinar,EM5088278_APJ Webinar_Improving HEK293_AAV Processes_Using,EM5088278,2516,2516,2512,4,100%,1191,47%,229,19%,
全网首发！赛默飞生物工艺《ADC生产工艺解决方案》手册重磅来袭！,GC,To Be Mapped,Batch & Blast,To Be Mapped,AntibodyADC_20230606,EM5103266,4017,4017,4017,0,100%,779,19%,18,2%,
全新的生物製程液體製備解決方案，提供您快速響應服務!,APJ,To Be Mapped,MAP,Awareness,TW-EM1-Email1-IPAC - Taiwan,EM5088794,184,188,180,8,96%,82,44%,25,30%,
全新的Protein A純化樹脂讓您大幅領先！立即體驗評估,APJ,PPA,Batch & Blast,Awareness,EM5090384_PUR-3-MabCaptureC-Eval-Email-Global-F,EM5090384,148,148,148,0,100%,28,19%,1,4%,$3366
免费电子书：选择灌流培养基时要考虑的关键因素,GC,To Be Mapped,MAP,Awareness,GC - EM4.3-Email4-Greater China,EM5082069,112,117,116,1,99%,44,38%,76,173%,
免费电子书：评估灌流培养基的最佳方案,GC,To Be Mapped,MAP,Awareness,GC - EM3.3-Email3-Greater China,EM5082068,115,119,118,1,99%,49,41%,70,143%,
免费电子书：了解如何建立成功的灌流过程,GC,To Be Mapped,MAP,Awareness,GC - EM2.3-Email2-Greater China,EM5082067,118,125,121,4,97%,44,35%,45,102%,
免費電子書：選擇灌流培養液需考量的關鍵因素,APJ,To Be Mapped,MAP,Awareness,TW - EM4.2-Email4-IPAC - Taiwan,EM5082061,103,110,108,2,98%,42,38%,36,86%,
免費電子書：評估灌流培養液的最佳方式,APJ,To Be Mapped,MAP,Awareness,TW - EM3.2-Email3-IPAC - Taiwan,EM5082059,106,113,111,2,98%,44,39%,24,55%,
免費電子書：了解如何建立一個成功的灌流流程,APJ,To Be Mapped,MAP,Awareness,TW - EM2.2-Email2-IPAC - Taiwan,EM5082058,2053,2067,2037,30,99%,546,26%,123,23%,
免費海報下載：Treg的活化和擴增,APJ,To Be Mapped,MAP,Awareness,TW-EM8-Email8-IPAC - Taiwan,EM5088758,1679,1683,1667,16,99%,508,30%,87,17%,
免費文章下載：收穫時的五大考量因素,APJ,SUD,Batch & Blast,Download,EM5097599_Free-article-download-Top-5-harvest-considerations,EM5097599,2292,2292,2277,15,99%,1367,60%,328,24%,
免費文章下載：收穫時的五大考量因素,To Be Mapped,SUD,Batch & Blast,Download,EM5097599_Free-article-download-Top-5-harvest-considerations,EM5097599,273,273,269,4,99%,164,60%,3,2%,
免費文章：早期製程設計的影響力,APJ,SUD,Batch & Blast,Download,EM5099512_Free-article-Impacts-of-early-process-design,EM5099512,2108,2108,2108,0,100%,447,21%,1,0%,
免費文章：早期製程設計的影響力,To Be Mapped,SUD,Batch & Blast,Download,EM5099512_Free-article-Impacts-of-early-process-design,EM5099512,239,239,239,0,100%,25,10%,0,0%,
